Productgroepcode,Productgroep_oms,Productcode,Product_omschrijving,Product_description,Product_synoniemen,Meeteenheid,Hoeveelheid,Commentaarregel,Verrijkt_met,Bevat_een_spoor_van,ENERCJ_kJ,ENERCC_kcal,PROT_g,PROTPL_g,PROTAN_g,NT_g,CHO_g,SUGAR_g,STARCH_g,POLYL_g,FIBT_g,ALC_g,WATER_g,OA_g,FAT_g,FACID_g,FASAT_g,FAMSCIS_g,FAPU_g,FAPUN3_g,FAPUN6_g,FATRS_g,F4_0_g,F6_0_g,F8_0_g,F10_0_g,F11_0_g,F12_0_g,F13_0_g,F14_0_g,F15_0_g,F16_0_g,F17_0_g,F18_0_g,F19_0_g,F20_0_g,F21_0_g,F22_0_g,F23_0_g,F24_0_g,F25_0_g,F26_0_g,FASATXR_g,F10_1CIS_g,F12_1CIS_g,F14_1CIS_g,F16_1CIS_g,F18_1CIS_g,F20_1CIS_g,F22_1CIS_g,F24_1CIS_g,FAMSCXR_g,F18_2CN6_g,F18_2CN9_g,F18_2CT_g,F18_2TC_g,F18_2R_g,F18_3CN3_g,F18_3CN6_g,F18_4CN3_g,F20_2CN6_g,F20_3CN9_g,F20_3CN6_g,F20_3CN3_g,F20_4CN6_g,F20_4CN3_g,F20_5CN3_g,F21_5CN3_g,F22_2CN6_g,F22_2CN3_g,F22_3CN3_g,F22_4CN6_g,F22_5CN6_g,F22_5CN3_g,F22_6CN3_g,F24_2CN6_g,FAPUXR_g,F10_1TRS_g,F12_1TRS_g,F14_1TRS_g,F16_1TRS_g,F18_1TRS_g,F18_2TTN6_g,F18_3TTTN3_g,F20_1TRS_g,F20_2TT_g,F22_1TRS_g,F24_1TRS_g,FAMSTXR_g,FAUN_g,CHORL_mg,NA_mg,K_mg,CA_mg,P_mg,MG_mg,FE_mg,HAEM_mg,NHAEM_mg,CU_mg,SE_mug,ZN_mg,ID_mug,ASH_g,VITA_RAE_mug,VITA_RE_mug,RETOL_mug,CARTBTOT_mug,CARTA_mug,LUTN_mug,ZEA_mug,CRYPXB_mug,LYCPN_mug,VITD_mug,CHOCALOH_mug,CHOCAL_mug,VITE_mg,TOCPHA_mg,TOCPHB_mg,TOCPHG_mg,TOCPHD_mg,VITK_mug,VITK1_mug,VITK2_mug,THIA_mg,RIBF_mg,VITB6_mg,VITB12_mug,NIA_mg,FOL_mug,FOLFD_mug,FOLAC_mug,VITC_mg
13,Kaas,3166,"Kaasproduct m plantaardige vetten Kees gerijpt","Cheeseproduct w veg fat Kees gerijpt",,g,100,"Per 100g.",,,1607,387,29,0,29,,0,0,0,0,0,0,36,,"30,1","28,9","8,6","16,3","3,8","0,7",3,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,"0,6",,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,600,90,1150,670,,"0,1",0,"0,1",,,,21,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",,,,,
13,Kaas,3167,"Kaasproduct m plantaardige vetten Kees extra gerijpt","Cheeseprod w veg fat Kees extra gerijpt",,g,100,"Per 100g.",,,1674,403,31,0,31,,0,0,0,0,0,0,33,,31,"29,8","9,6","16,3","3,8","0,6","3,2","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,"0,6",,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,640,90,1160,670,,"0,2",0,"0,2",,,,22,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",,,,,
13,Kaas,3168,"Kaas 30+ minder zout jong","Cheese 30+ less salt age 4-8 weeks",,g,100,"Per 100g.",,,1079,259,"26,7",0,"26,7",,0,0,0,0,0,0,52,,"16,9","15,9",11,"3,6","0,5","0,2","0,3","0,5","0,59","0,44","0,25","0,52",0,"0,65",0,"1,87","0,18","4,86","0,08","1,57",0,0,0,0,0,0,0,0,0,0,0,"0,18","0,32","3,08",0,0,0,0,"0,27",0,0,0,0,"0,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,07","0,39",0,0,0,0,0,0,0,"0,33",56,649,76,1020,610,40,"0,2",0,"0,2","0,07",13,"4,15",19,,173,179,168,67,1,3,1,2,1,"0,2","0,1","0,2","0,4","0,4",0,0,0,"45,8","2,2","43,6","0,03","0,32","0,05","1,71","0,1",30,30,0,0
13,Kaas,3169,"Kaas 30+ minder zout jong belegen","Cheese 30+ less salt age 8 wk-4 mths",,g,100,"Per 100g.",,,1154,277,"28,9",0,"28,9",,0,0,0,0,0,0,"49,3",,"17,9","16,8","11,7","3,8","0,5","0,2","0,3","0,5","0,63","0,47","0,27","0,55",0,"0,69",0,"1,98","0,19","5,14","0,08","1,67",0,0,0,0,0,0,0,0,0,0,0,"0,19","0,33","3,26",0,0,0,0,"0,29",0,0,0,0,"0,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,07","0,42",0,0,0,0,0,0,0,"0,35",60,563,120,975,640,40,"0,1",0,"0,1","0,1",14,5,21,,174,180,168,72,1,3,1,2,1,"0,2","0,1","0,2","0,4","0,4",0,0,0,"49,6","2,3","47,3","0,01","0,3","0,04","1,6","0,1",28,28,0,0
13,Kaas,3170,"Kaas 30+ minder zout belegen","Cheese 30+ less salt age 4-7 mths",,g,100,"Per 100g.",,,1174,282,"29,9",0,"29,9",,0,0,0,0,0,0,"50,3",,18,"16,9","11,7","3,8","0,5","0,2","0,3","0,5","0,63","0,47","0,27","0,55",0,"0,69",0,"1,99","0,19","5,17","0,08","1,68",0,0,0,0,0,0,0,0,0,0,0,"0,19","0,34","3,28",0,0,0,0,"0,29",0,0,0,0,"0,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,07","0,42",0,0,0,0,0,0,0,"0,36",57,668,107,930,667,40,"0,2",0,"0,2","0,08",15,"4,47",21,,199,208,190,110,,,,,,"0,2","0,1","0,2","0,5",,,,,"47,5","2,3","45,2","0,03","0,33","0,05","2,23","0,1",35,35,0,0
13,Kaas,3171,"Kaas 48+ minder zout jong","Cheese 48+ less salt age 4-8 weeks",,g,100,"Per 100g.",,,1532,370,"23,1",0,"23,1",,0,0,0,0,0,0,"44,6",,"30,8",29,"20,1","6,5","0,9","0,4","0,5","0,8","1,08","0,8","0,46","0,94",0,"1,18",0,"3,41","0,32","8,85","0,14","2,87",0,0,0,0,0,0,0,0,0,0,0,"0,33","0,57","5,62",0,0,0,0,"0,5",0,0,0,0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,12","0,72",0,0,0,0,0,0,0,"0,61",80,640,71,730,554,32,"0,2",0,"0,2","0,03",11,"3,48",21,,319,332,307,149,1,8,1,2,0,"0,3","0,1","0,2","0,8","0,8",0,0,0,"51,1","3,8","47,3","0,01","0,3","0,04","1,79",0,"27,4","27,4",0,0
13,Kaas,3172,"Kaas 48+ minder zout jong belegen","Cheese 48+ less salt age 8 wk-4 mths",,g,100,"Per 100g.",,,1573,379,"24,2",0,"24,2",,0,0,0,0,0,0,"42,8",,"31,4","29,5","20,5","6,6","0,9","0,4","0,5","0,9","1,11","0,82","0,47","0,96",0,"1,21",0,"3,48","0,33","9,02","0,14","2,93",0,0,0,0,0,0,0,0,0,0,0,"0,33","0,58","5,72",0,0,0,0,"0,51",0,0,0,0,"0,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,12","0,73",0,0,0,0,0,0,0,"0,62",55,569,80,740,575,33,"0,2",0,"0,2","0,04",12,"3,5",21,,325,338,312,153,1,8,1,2,1,"0,3","0,1","0,2","0,9","0,9",0,0,0,"69,6",4,"65,6","0,01","0,28","0,04","1,89","0,1","25,4","25,4",0,0
13,Kaas,3173,"Kaas 48+ minder zout belegen","Cheese 48+ less salt age 4-7 mths",,g,100,"Per 100g.",,,1594,384,25,0,25,,0,0,0,0,0,0,"41,7",,"31,6","29,7","20,6","6,7","0,9","0,4","0,5","0,9","1,11","0,82","0,47","0,97",0,"1,22",0,"3,5","0,33","9,08","0,14","2,94",0,0,0,0,0,0,0,0,0,0,0,"0,33","0,59","5,76",0,0,0,0,"0,51",0,0,0,0,"0,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,12","0,74",0,0,0,0,0,0,0,"0,62",81,640,76,780,439,32,"0,1",0,"0,1","0,04",12,"3,3",21,,349,361,336,152,0,8,0,0,0,"0,3","0,1","0,2","0,9","0,9",0,"0,1",0,"76,8","3,9","72,9","0,01","0,26","0,03","2,23","0,1","23,4","23,4",0,0
13,Kaas,3356,"Kaas Heks'n-","Cheesespread Heks'n kaas",Heksenkaas,g,100,"Per 100g.",,,1472,356,"1,9","0,5","1,4",0,"9,7","7,8","1,9",0,"0,4",0,"53,5","0,1","34,3","32,3","4,7","18,5","8,3","2,5","5,8","0,2","0,16","0,1","0,06","0,13",0,"0,17",0,"0,53","0,05","2,74","0,05","0,93",0,"0,14",0,"0,09",0,"0,03",0,0,"0,09","0,01",0,"0,05","0,14","17,8","0,38","0,07","0,03","0,01","5,74",0,"0,02",0,0,"2,47",0,0,"0,03",0,0,0,"0,01","0,01","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01","0,08",0,,"0,08",0,0,0,0,"0,18","42,2",387,81,45,45,7,"0,5",0,"0,5","0,03",1,,"2,9","0,1",84,106,61,258,24,288,2,2,160,"0,2",0,"0,1","5,5","5,3",0,"0,4","10,8","48,1","48,1",,"0,03","0,07","0,05","0,12","0,1","12,9","12,9",0,5
13,Kaas,3368,"Kaas room- met kruiden 25-30 g vet","Cheese cream with herbs 25-30 g fat","Roomkaas met kruiden 25-30 g vet; Kaas verse met kruiden 25-30 g vet",g,100,"Per 100g. Gem v AH, Garlan, Jumbo, Milbona Crefee en Val Blanc.",,,1201,291,"5,3",0,"5,3",,"3,4","3,2","0,2",0,0,0,"62,8",,"28,4","26,7","18,6","6,2","0,8","0,2","0,5","0,5","0,93","0,61","0,37","0,78","0,02","1,04","0,02","3,02","0,28","8,07","0,15","2,64",0,"0,04",0,"0,02",0,"0,02",0,0,"0,54","0,09","0,02","0,29","0,42","5,3","0,02",0,0,"0,06","0,38",0,"0,13",0,0,"0,13","0,02",0,"0,01",0,"0,02",0,"0,02","0,01","0,02",0,0,0,0,0,0,"0,02",0,0,0,0,0,0,"0,05","0,46",0,0,0,0,0,0,0,"0,67",125,552,100,200,150,10,"0,3",0,"0,3",,,,6,,344,358,330,167,1,11,0,3,0,"0,3",,"0,3",,,,,,"2,9","2,9",,"0,04","0,28","0,074","0,3",,23,23,0,0
