bronid,bron
MI0201.00233,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 233 Brood krenten-"
MI0201.00236,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 236 Brood tarwe-"
MI0201.00240,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 240 Koek ontbijt-"
MI0201.00242,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 242 Brood rogge- donker"
MI0201.00248,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 248 Brood wit- water"
MI0201.00252,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 252 Biscuit"
MI0201.00270,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 270 Melk rauwe"
MI0201.00272,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 272 Melk chocolade- volle"
MI0201.00274,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 274 Creamer koffie-"
MI0201.00276,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 276 Vla chocolade- volle"
MI0201.00302,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 302 IJs consumptie-"
MI0201.00310,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 310 Boter ongezouten"
MI0201.00313,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 313 Olie soja-"
MI0201.00317,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 317 Olie zonnebloem-"
MI0201.00326,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 326 Kroket vlees- bereid m vloeibaar frituurvet"
MI0201.00330,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 330 Kalkoen rauw"
MI0201.00343,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 343 Spek vers vet rauw"
MI0201.00348,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 348 Garnalen Hollandse gekookt"
MI0201.00430,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 430 Cacaopoeder"
MI0201.00431,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 431 Chocolade melk-"
MI0201.00432,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 432 Chocolade puur"
MI0201.00436,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 436 Pasta chocolade- hazelnoot"
MI0201.00451,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 451 Mayonaise"
MI0201.00455,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 455 Pindakaas"
MI0201.00458,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 458 Saus sla- 25% olie"
MI0201.00465,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 465 Saus frites- 25% olie"
MI0201.00482,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 482 Spekkie"
MI0201.00487,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 487 Candybar Mars"
MI0201.00515,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 515 Kaas smeer- volvet 48+"
MI0201.00566,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 566 Worst knak- blik/glas"
MI0201.00567,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 567 Worst boterham-"
MI0201.00601,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 601 Olie olijf-"
MI0201.00608,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 608 Olie mais/maiskiem-"
MI0201.00638,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 638 Worst cervelaat-"
MI0201.00639,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 639 Spek ontbijt-"
MI0201.00660,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 660 Bonen bruine blik/glas"
MI0201.00667,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 667 Cassave rauw"
MI0201.00669,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 669 Yam rauw"
MI0201.00671,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 671 Aardappel zoete rauw"
MI0201.00682,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 682 Pompoen rauw"
MI0201.00717,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 717 Chocolade melk- m hazelnoten"
MI0201.00784,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 784 Ham achter-"
MI0201.00797,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 797 Soep op groentebasis bereid pakje"
MI0201.00811,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 811 Pasta volkoren rauw"
MI0201.00820,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 820 Kabeljauw rauw"
MI0201.00824,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 824 Mosterd"
MI0201.00838,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 838 Sesamzaad"
MI0201.00884,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 884 Paprika rode rauw"
MI0201.00922,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 922 Courgette rauw"
MI0201.00952,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 952 Kool boeren- diepvries gekookt"
MI0201.00959,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 959 Kool boeren- rauw"
MI0201.00972,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 972 Erwten groene gekookt"
MI0201.00975,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 975 Knackebrod sesam"
MI0201.01025,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1025 Gist gedroogd"
MI0201.01302,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1302 Kaas room- zachte Paturain"
MI0201.01315,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1315 Kabeljauwfilet gebakken/gestoofd"
MI0201.01326,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1326 Gehakt hoh rul gebakken"
MI0201.01392,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1392 Kipfilet bereid"
MI0201.01400,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1400 Runderbiefstuk rauw"
MI0201.01407,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1407 Lever runder- rauw"
MI0201.01413,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1413 Runder doorregen lappen rauw"
MI0201.01416,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1416 Rundertong rauw"
MI0201.01426,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1426 Lever varkens- rauw"
MI0201.01432,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1432 Speklap rauw"
MI0201.01434,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1434 Gehakt hoh rauw"
MI0201.01443,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1443 Lamsbout rauw"
MI0201.01539,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1539 Runderbaklappen bereid"
MI0201.01542,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1542 Lever runder- bereid"
MI0201.01550,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1550 Rundertartaar bereid"
MI0201.01551,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1551 Varkensbraadworst bereid"
MI0201.01556,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1556 Varkenshaas bereid"
MI0201.01559,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1559 Varkensschouderkarbonade bereid"
MI0201.01577,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1577 Lamskarbonade bereid"
MI0201.01617,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1617 Schol bereid in magnetron z toev"
MI0201.01632,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1632 Inktvis pijl- bereid in magnetron z toev"
MI0201.01635,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1635 Kip z vel bereid"
MI0201.01650,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1650 Kaas geiten- verse"
MI0201.01896,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1896 Noten pistache- gezouten"
MI0201.01963,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 1963 Hagelslag chocolade- puur"
MI0201.02031,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2031 Quorn stukjes onbereid"
MI0201.02266,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2266 Chocolade witte"
MI0201.02296,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2296 Koolvis (Atlantisch) rauw"
MI0201.02297,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2297 Tonijn rauw"
MI0201.02299,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2299 Tilapia rauw"
MI0201.02355,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2355 Brood suiker- wit"
MI0201.02366,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2366 Muesli krokante naturel/m fruit"
